computer,datetime,exp,cbal,participant,trial,trial_type,img,trial_duration,audio_path,audio_file,word,error,word_onset,word_duration
LCNL-279-1-PC,6/20/2018 11:21,wc32v.3,A1a,TEST,p01,prac,prac01.gif,0.854958667,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_PTEST/wc32v.3_TEST_p01.wav,wc32v.3_TEST_p01.wav,,,,
LCNL-279-1-PC,6/20/2018 11:21,wc32v.3,A1a,TEST,p02,prac,prac02.jpg,0.855557663,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_PTEST/wc32v.3_TEST_p02.wav,wc32v.3_TEST_p02.wav,,,,
LCNL-279-1-PC,6/20/2018 11:21,wc32v.3,A1a,TEST,p03,prac,prac03.gif,0.853511249,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_PTEST/wc32v.3_TEST_p03.wav,wc32v.3_TEST_p03.wav,,,,
LCNL-279-1-PC,6/20/2018 11:21,wc32v.3,A1a,TEST,p04,prac,prac04.jpg,0.854480963,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_PTEST/wc32v.3_TEST_p04.wav,wc32v.3_TEST_p04.wav,,,,
LCNL-279-1-PC,6/20/2018 11:21,wc32v.3,A1a,TEST,1,fill,fimg38.jpg,0.850333398,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_PTEST/wc32v.3_TEST_001.wav,wc32v.3_TEST_001.wav,,,,
LCNL-279-1-PC,6/20/2018 11:21,wc32v.3,A1a,TEST,2,ctrl,ctrl31.jpg,0.853136488,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_PTEST/wc32v.3_TEST_002.wav,wc32v.3_TEST_002.wav,,,,
LCNL-279-1-PC,6/20/2018 11:21,wc32v.3,A1a,TEST,3,trgt,trgt31.jpg,0.853538618,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_PTEST/wc32v.3_TEST_003.wav,wc32v.3_TEST_003.wav,,,,
LCNL-279-1-PC,6/20/2018 11:21,wc32v.3,A1a,TEST,4,fill,ftxt03.jpg,0.855031443,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_PTEST/wc32v.3_TEST_004.wav,wc32v.3_TEST_004.wav,,,,
LCNL-279-1-PC,6/20/2018 11:21,wc32v.3,A1a,TEST,5,fill,ftxt31.jpg,3.034055695,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_PTEST/wc32v.3_TEST_005.wav,wc32v.3_TEST_005.wav,,,,
LCNL-279-1-PC,6/20/2018 11:21,wc32v.3,A1a,TEST,6,fill,fimg40.jpg,3.035700601,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_PTEST/wc32v.3_TEST_006.wav,wc32v.3_TEST_006.wav,,,,
LCNL-279-1-PC,6/20/2018 11:21,wc32v.3,A1a,TEST,7,intf,prim34.jpg,3.035363783,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_PTEST/wc32v.3_TEST_007.wav,wc32v.3_TEST_007.wav,,,,
LCNL-279-1-PC,6/20/2018 11:22,wc32v.3,A1a,TEST,p01,prac,prac01.gif,0.854354695,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_PTEST/wc32v.3_TEST_p01.wav,wc32v.3_TEST_p01.wav,,,,
LCNL-279-1-PC,6/20/2018 11:22,wc32v.3,A1a,TEST,p02,prac,prac02.jpg,0.984155527,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_PTEST/wc32v.3_TEST_p02.wav,wc32v.3_TEST_p02.wav,,,,
LCNL-279-1-PC,6/20/2018 11:22,wc32v.3,A1a,TEST,p03,prac,prac03.gif,0.854609409,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_PTEST/wc32v.3_TEST_p03.wav,wc32v.3_TEST_p03.wav,,,,
LCNL-279-1-PC,6/20/2018 11:22,wc32v.3,A1a,TEST,p04,prac,prac04.jpg,0.854303068,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_PTEST/wc32v.3_TEST_p04.wav,wc32v.3_TEST_p04.wav,,,,
LCNL-279-1-PC,6/20/2018 11:22,wc32v.3,A1a,TEST,1,fill,fimg38.jpg,0.854986969,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_PTEST/wc32v.3_TEST_001.wav,wc32v.3_TEST_001.wav,,,,
LCNL-279-1-PC,6/20/2018 11:22,wc32v.3,A1a,TEST,2,ctrl,ctrl31.jpg,0.854602877,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_PTEST/wc32v.3_TEST_002.wav,wc32v.3_TEST_002.wav,,,,
LCNL-279-1-PC,6/20/2018 11:22,wc32v.3,A1a,TEST,3,trgt,trgt31.jpg,0.855246658,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_PTEST/wc32v.3_TEST_003.wav,wc32v.3_TEST_003.wav,,,,
LCNL-279-1-PC,6/20/2018 11:22,wc32v.3,A1a,TEST,4,fill,ftxt03.jpg,0.855520654,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_PTEST/wc32v.3_TEST_004.wav,wc32v.3_TEST_004.wav,,,,
LCNL-279-1-PC,6/20/2018 11:22,wc32v.3,A1a,TEST,5,fill,ftxt31.jpg,0.855544912,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_PTEST/wc32v.3_TEST_005.wav,wc32v.3_TEST_005.wav,,,,
LCNL-279-1-PC,6/20/2018 11:22,wc32v.3,A1a,TEST,6,fill,fimg40.jpg,0.856022305,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_PTEST/wc32v.3_TEST_006.wav,wc32v.3_TEST_006.wav,,,,
LCNL-279-1-PC,6/20/2018 11:22,wc32v.3,A1a,TEST,7,intf,prim34.jpg,0.856553191,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_PTEST/wc32v.3_TEST_007.wav,wc32v.3_TEST_007.wav,,,,
LCNL-279-1-PC,6/20/2018 11:22,wc32v.3,A1a,TEST,8,trgt,trgt34.jpg,0.85541118,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_PTEST/wc32v.3_TEST_008.wav,wc32v.3_TEST_008.wav,,,,
LCNL-279-1-PC,6/20/2018 11:22,wc32v.3,A1a,TEST,9,fill,fimg27.jpg,0.856262712,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_PTEST/wc32v.3_TEST_009.wav,wc32v.3_TEST_009.wav,,,,
