computer,datetime,exp,cbal,participant,trial,trial_type,img,trial_duration,audio_path,audio_file,word,error,word_onset,word_duration,
LCNL-279-1-PC,2018-06-20 11:21,wc32v.3,A1a,TEST,003,ctrl,trgt31.jpg,0.85353861752,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_PTEST/wc32v.3_TEST_003.wav,wc32v.3_TEST_003.wav,,,,,
LCNL-279-1-PC,2018-06-20 11:22,wc32v.3,A1a,TEST,003,ctrl,trgt31.jpg,0.855246658249,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_PTEST/wc32v.3_TEST_003.wav,wc32v.3_TEST_003.wav,,,,,
LCNL-279-1-PC,2018-06-20 11:22,wc32v.3,A1a,TEST,008,intf,trgt34.jpg,0.855411180016,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_PTEST/wc32v.3_TEST_008.wav,wc32v.3_TEST_008.wav,,,,,
LCNL-279-1-PC,2018-06-20 11:22,wc32v.3,A1a,TEST,011,ctrl,trgt23.jpg,1.62611573127,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_PTEST/wc32v.3_TEST_011.wav,wc32v.3_TEST_011.wav,,,,,
LCNL-279-1-PC,2018-06-25 10:03,wc32v.3,A1a,11,003,ctrl,trgt31.jpg,0.984197824207,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_003.wav,wc32v.3_11_003.wav,,,,,
LCNL-279-1-PC,2018-06-25 10:03,wc32v.3,A1a,11,008,intf,trgt34.jpg,0.985024476112,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_008.wav,wc32v.3_11_008.wav,,,,,
LCNL-279-1-PC,2018-06-25 10:03,wc32v.3,A1a,11,011,ctrl,trgt23.jpg,1.24408654654,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_011.wav,wc32v.3_11_011.wav,,,,,
LCNL-279-1-PC,2018-06-25 10:03,wc32v.3,A1a,11,016,intf,trgt35.jpg,0.856095080519,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_016.wav,wc32v.3_11_016.wav,,,,,
LCNL-279-1-PC,2018-06-25 10:03,wc32v.3,A1a,11,020,ctrl,trgt17.jpg,0.984426413053,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_020.wav,wc32v.3_11_020.wav,,,,,
LCNL-279-1-PC,2018-06-25 10:03,wc32v.3,A1a,11,024,intf,trgt33.jpg,0.856334243542,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_024.wav,wc32v.3_11_024.wav,,,,,
LCNL-279-1-PC,2018-06-25 10:03,wc32v.3,A1a,11,027,ctrl,trgt29.jpg,0.986154358116,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_027.wav,wc32v.3_11_027.wav,,,,,
LCNL-279-1-PC,2018-06-25 10:03,wc32v.3,A1a,11,032,intf,trgt18.jpg,0.855643811929,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_032.wav,wc32v.3_11_032.wav,,,,,
LCNL-279-1-PC,2018-06-25 10:03,wc32v.3,A1a,11,035,ctrl,trgt04.jpg,0.985830912676,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_035.wav,wc32v.3_11_035.wav,,,,,
LCNL-279-1-PC,2018-06-25 10:03,wc32v.3,A1a,11,040,intf,trgt22.jpg,0.986061056547,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_040.wav,wc32v.3_11_040.wav,,,,,
LCNL-279-1-PC,2018-06-25 10:03,wc32v.3,A1a,11,045,ctrl,trgt20.jpg,0.985589572617,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_045.wav,wc32v.3_11_045.wav,,,,,
LCNL-279-1-PC,2018-06-25 10:03,wc32v.3,A1a,11,048,intf,trgt32.jpg,1.24564095068,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_048.wav,wc32v.3_11_048.wav,,,,,
LCNL-279-1-PC,2018-06-25 10:03,wc32v.3,A1a,11,051,ctrl,trgt21.jpg,1.11543332359,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_051.wav,wc32v.3_11_051.wav,,,,,
LCNL-279-1-PC,2018-06-25 10:03,wc32v.3,A1a,11,056,intf,trgt19.jpg,3.03418725003,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_056.wav,wc32v.3_11_056.wav,,,,,
LCNL-279-1-PC,2018-06-25 10:03,wc32v.3,A1a,11,061,ctrl,trgt38.jpg,0.855567304641,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_061.wav,wc32v.3_11_061.wav,,,,,
LCNL-279-1-PC,2018-06-25 10:03,wc32v.3,A1a,11,064,intf,trgt36.jpg,1.62461046595,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_064.wav,wc32v.3_11_064.wav,,,,,
LCNL-279-1-PC,2018-06-25 10:03,wc32v.3,A1a,11,067,ctrl,trgt11.jpg,1.3659632765,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_067.wav,wc32v.3_11_067.wav,,,,,
LCNL-279-1-PC,2018-06-25 10:03,wc32v.3,A1a,11,072,intf,trgt16.jpg,0.854314575571,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_072.wav,wc32v.3_11_072.wav,,,,,
LCNL-279-1-PC,2018-06-25 10:03,wc32v.3,A1a,11,076,ctrl,trgt02.jpg,1.24451977682,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_076.wav,wc32v.3_11_076.wav,,,,,
LCNL-279-1-PC,2018-06-25 10:03,wc32v.3,A1a,11,080,intf,trgt37.jpg,0.854517972992,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_080.wav,wc32v.3_11_080.wav,,,,,
LCNL-279-1-PC,2018-06-25 10:03,wc32v.3,A1a,11,083,ctrl,trgt03.jpg,0.984667131101,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_083.wav,wc32v.3_11_083.wav,,,,,
LCNL-279-1-PC,2018-06-25 10:03,wc32v.3,A1a,11,088,intf,trgt07.jpg,0.984784069068,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_088.wav,wc32v.3_11_088.wav,,,,,
LCNL-279-1-PC,2018-06-25 10:03,wc32v.3,A1a,11,093,ctrl,trgt09.jpg,0.983552799358,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_093.wav,wc32v.3_11_093.wav,,,,,
LCNL-279-1-PC,2018-06-25 10:03,wc32v.3,A1a,11,096,intf,trgt06.jpg,0.984395001524,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_096.wav,wc32v.3_11_096.wav,,,,,
LCNL-279-1-PC,2018-06-25 10:03,wc32v.3,A1a,11,100,ctrl,trgt08.jpg,0.85521462471,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_100.wav,wc32v.3_11_100.wav,,,,,
LCNL-279-1-PC,2018-06-25 10:03,wc32v.3,A1a,11,104,intf,trgt25.jpg,0.984825432764,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_104.wav,wc32v.3_11_104.wav,,,,,
LCNL-279-1-PC,2018-06-25 10:03,wc32v.3,A1a,11,108,ctrl,trgt26.jpg,0.854624958792,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_108.wav,wc32v.3_11_108.wav,,,,,
LCNL-279-1-PC,2018-06-25 10:03,wc32v.3,A1a,11,112,intf,trgt01.jpg,2.77539326611,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_112.wav,wc32v.3_11_112.wav,,,,,
LCNL-279-1-PC,2018-06-25 10:03,wc32v.3,A1a,11,117,ctrl,trgt40.jpg,0.85427880997,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_117.wav,wc32v.3_11_117.wav,,,,,
LCNL-279-1-PC,2018-06-25 10:03,wc32v.3,A1a,11,120,intf,trgt24.jpg,1.88413655618,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_120.wav,wc32v.3_11_120.wav,,,,,
